1	8.000000
2	6.500000
3	5.692308
4	8.972973
5	11.722892
6	10.041110
7	11.585261
8	10.893240
9	11.304802
10	11.215859
11	11.257753
12	11.274499
13	11.265176
14	11.270408
15	11.267483
16	11.269121
17	11.268204
18	11.268718
19	11.268430
20	11.268591
21	11.268501
22	11.268552
23	11.268523
24	11.268539
1	-3.714286
2	-2.164384
3	2.177862
4	6.846065
5	9.594150
6	10.707290
7	11.088753
8	11.211807
9	11.250721
10	11.262949
11	11.266783
12	11.267985
13	11.268362
14	11.268480
15	11.268517
16	11.268528
1	20.000000
2	98.350000
3	98.521607
4	98.521699
1	98.520761
2	98.521698
